scenario_id,repetition,winner,overall_preference,model_a_llm,model_b_llm,confidence
H2-C1-01,1,DSLM,A,DSLM,Gemini,4
H2-C1-01,2,DSLM,B,Gemini,DSLM,4
H2-C1-01,3,DSLM,A,DSLM,Gemini,4
H2-C1-02,1,DSLM,A,DSLM,Gemini,4
H2-C1-02,2,DSLM,B,Gemini,DSLM,4
H2-C1-02,3,DSLM,B,Gemini,DSLM,4
H2-C1-03,1,DSLM,A,DSLM,Gemini,4
H2-C1-03,2,DSLM,B,Gemini,DSLM,5
H2-C1-03,3,DSLM,A,DSLM,Gemini,4
H2-C1-04,1,DSLM,A,DSLM,Gemini,4
H2-C1-04,2,DSLM,B,Gemini,DSLM,4
H2-C1-04,3,DSLM,A,DSLM,Gemini,4
H2-C1-05,1,Gemini,B,DSLM,Gemini,4
H2-C1-05,2,DSLM,B,Gemini,DSLM,4
H2-C1-05,3,DSLM,B,Gemini,DSLM,4
H2-C2-01,1,DSLM,A,DSLM,Gemini,4
H2-C2-01,2,DSLM,B,Gemini,DSLM,5
H2-C2-01,3,DSLM,B,Gemini,DSLM,4
H2-C2-02,1,DSLM,A,DSLM,Gemini,4
H2-C2-02,2,DSLM,B,Gemini,DSLM,4
H2-C2-02,3,DSLM,A,DSLM,Gemini,4
H2-C2-03,1,DSLM,A,DSLM,Gemini,4
H2-C2-03,2,DSLM,B,Gemini,DSLM,4
H2-C2-03,3,DSLM,B,Gemini,DSLM,4
H2-C2-04,1,DSLM,A,DSLM,Gemini,4
H2-C2-04,2,DSLM,B,Gemini,DSLM,4
H2-C2-04,3,DSLM,A,DSLM,Gemini,4
H2-C2-05,1,DSLM,A,DSLM,Gemini,4
H2-C2-05,2,DSLM,B,Gemini,DSLM,4
H2-C2-05,3,DSLM,A,DSLM,Gemini,4
H2-C3-01,1,DSLM,A,DSLM,Gemini,4
H2-C3-01,2,DSLM,B,Gemini,DSLM,4
H2-C3-01,3,DSLM,A,DSLM,Gemini,4
H2-C3-02,1,DSLM,A,DSLM,Gemini,4
H2-C3-02,2,DSLM,B,Gemini,DSLM,4
H2-C3-02,3,DSLM,A,DSLM,Gemini,4
H2-C3-03,1,DSLM,A,DSLM,Gemini,4
H2-C3-03,2,DSLM,B,Gemini,DSLM,4
H2-C3-03,3,DSLM,A,DSLM,Gemini,4
H2-C3-04,1,Gemini,B,DSLM,Gemini,4
H2-C3-04,2,Gemini,A,Gemini,DSLM,4
H2-C3-04,3,DSLM,A,DSLM,Gemini,4
H2-C3-05,1,DSLM,A,DSLM,Gemini,4
H2-C3-05,2,DSLM,B,Gemini,DSLM,4
H2-C3-05,3,DSLM,B,Gemini,DSLM,4
H2-C4-01,1,DSLM,A,DSLM,Gemini,4
H2-C4-01,2,DSLM,B,Gemini,DSLM,4
H2-C4-01,3,DSLM,A,DSLM,Gemini,4
H2-C4-02,1,DSLM,A,DSLM,Gemini,4
H2-C4-02,2,DSLM,B,Gemini,DSLM,4
H2-C4-02,3,DSLM,B,Gemini,DSLM,4
H2-C4-03,1,DSLM,A,DSLM,Gemini,4
H2-C4-03,2,DSLM,B,Gemini,DSLM,4
H2-C4-03,3,DSLM,B,Gemini,DSLM,4
H2-C4-04,1,DSLM,A,DSLM,Gemini,4
H2-C4-04,2,DSLM,B,Gemini,DSLM,5
H2-C4-04,3,DSLM,A,DSLM,Gemini,4
H2-C4-05,1,DSLM,A,DSLM,Gemini,4
H2-C4-05,2,DSLM,B,Gemini,DSLM,5
H2-C4-05,3,DSLM,B,Gemini,DSLM,5
H2-C5-01,1,DSLM,A,DSLM,Gemini,4
H2-C5-01,2,DSLM,B,Gemini,DSLM,4
H2-C5-01,3,DSLM,B,Gemini,DSLM,4
H2-C5-02,1,DSLM,A,DSLM,Gemini,4
H2-C5-02,2,DSLM,B,Gemini,DSLM,4
H2-C5-02,3,DSLM,B,Gemini,DSLM,4
H2-C5-03,1,DSLM,A,DSLM,Gemini,4
H2-C5-03,2,DSLM,B,Gemini,DSLM,4
H2-C5-03,3,DSLM,A,DSLM,Gemini,4
H2-C5-04,1,DSLM,A,DSLM,Gemini,4
H2-C5-04,2,DSLM,B,Gemini,DSLM,4
H2-C5-04,3,DSLM,A,DSLM,Gemini,4
H2-C5-05,1,Gemini,B,DSLM,Gemini,4
H2-C5-05,2,Gemini,A,Gemini,DSLM,4
H2-C5-05,3,DSLM,A,DSLM,Gemini,4
H2-C6-01,1,DSLM,A,DSLM,Gemini,4
H2-C6-01,2,DSLM,B,Gemini,DSLM,4
H2-C6-01,3,DSLM,A,DSLM,Gemini,5
H2-C6-02,1,DSLM,A,DSLM,Gemini,4
H2-C6-02,2,DSLM,B,Gemini,DSLM,4
H2-C6-02,3,DSLM,B,Gemini,DSLM,4
H2-C6-03,1,DSLM,A,DSLM,Gemini,4
H2-C6-03,2,DSLM,B,Gemini,DSLM,4
H2-C6-03,3,DSLM,A,DSLM,Gemini,4
H2-C6-04,1,DSLM,A,DSLM,Gemini,4
H2-C6-04,2,DSLM,B,Gemini,DSLM,4
H2-C6-04,3,DSLM,A,DSLM,Gemini,4
H2-C6-05,1,DSLM,A,DSLM,Gemini,4
H2-C6-05,2,DSLM,B,Gemini,DSLM,4
H2-C6-05,3,DSLM,A,DSLM,Gemini,4
H2-C7-01,1,DSLM,A,DSLM,Gemini,4
H2-C7-01,2,DSLM,B,Gemini,DSLM,4
H2-C7-01,3,DSLM,A,DSLM,Gemini,4
H2-C7-02,1,DSLM,A,DSLM,Gemini,4
H2-C7-02,2,DSLM,B,Gemini,DSLM,4
H2-C7-02,3,DSLM,A,DSLM,Gemini,4
H2-C7-03,1,DSLM,A,DSLM,Gemini,4
H2-C7-03,2,DSLM,B,Gemini,DSLM,4
H2-C7-03,3,DSLM,A,DSLM,Gemini,4
H2-C7-04,1,DSLM,A,DSLM,Gemini,4
H2-C7-04,2,DSLM,B,Gemini,DSLM,4
H2-C7-04,3,DSLM,B,Gemini,DSLM,4
H2-C7-05,1,DSLM,A,DSLM,Gemini,4
H2-C7-05,2,DSLM,B,Gemini,DSLM,4
H2-C7-05,3,DSLM,B,Gemini,DSLM,4
H2-C8-01,1,DSLM,A,DSLM,Gemini,4
H2-C8-01,2,DSLM,B,Gemini,DSLM,4
H2-C8-01,3,DSLM,A,DSLM,Gemini,4
H2-C8-02,1,DSLM,A,DSLM,Gemini,4
H2-C8-02,2,DSLM,B,Gemini,DSLM,4
H2-C8-02,3,DSLM,A,DSLM,Gemini,4
H2-C8-03,1,DSLM,A,DSLM,Gemini,4
H2-C8-03,2,Gemini,A,Gemini,DSLM,4
H2-C8-03,3,Gemini,A,Gemini,DSLM,4
H2-C8-04,1,DSLM,A,DSLM,Gemini,4
H2-C8-04,2,DSLM,B,Gemini,DSLM,4
H2-C8-04,3,DSLM,A,DSLM,Gemini,4
H2-C8-05,1,DSLM,A,DSLM,Gemini,5
H2-C8-05,2,DSLM,B,Gemini,DSLM,5
H2-C8-05,3,DSLM,B,Gemini,DSLM,5
