faithfulness,answer_relevancy,context_precision,context_recall,scenario_id,cell,pattern
1.0,0.4876,1.0,1.0,P001-Q01-T-거주지,1,T-거주지
1.0,0.7644,1.0,1.0,P001-Q02-T-직업,1,T-직업
1.0,0.8538,1.0,1.0,P001-Q03-T-학력,1,T-학력
0.4007,0.6945,0.0,0.3187,P001-Q04-F-반대,1,F-반대
1.0,0.2453,1.0,0.4061,P001-Q05-F-비존재,1,F-비존재
0.3617,0.8218,0.0,0.3187,P001-Q06-F-시점오류,1,F-시점오류
0.3648,0.811,0.0,0.3187,P001-Q07-ADV-부분일치,1,ADV-부분일치
0.3566,0.8126,0.0,0.3187,P001-Q08-ADV-시점근접,1,ADV-시점근접
0.4059,0.5184,0.0,0.3187,P001-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.3291,1.0,1.0,P002-Q01-T-거주지,1,T-거주지
1.0,0.7989,1.0,1.0,P002-Q02-T-직업,1,T-직업
1.0,0.8287,1.0,1.0,P002-Q03-T-학력,1,T-학력
0.4866,0.5277,0.0,0.2934,P002-Q04-F-반대,1,F-반대
1.0,0.2737,1.0,0.4043,P002-Q05-F-비존재,1,F-비존재
0.4929,0.5645,0.0,0.2934,P002-Q06-F-시점오류,1,F-시점오류
0.4944,0.6327,0.0,0.2934,P002-Q07-ADV-부분일치,1,ADV-부분일치
0.4929,0.5769,0.0,0.2934,P002-Q08-ADV-시점근접,1,ADV-시점근접
0.4572,0.683,0.0,0.2934,P002-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4684,1.0,1.0,P003-Q01-T-거주지,1,T-거주지
1.0,0.8088,1.0,1.0,P003-Q02-T-직업,1,T-직업
1.0,0.8594,1.0,1.0,P003-Q03-T-학력,1,T-학력
0.39,0.7269,0.0,0.3119,P003-Q04-F-반대,1,F-반대
1.0,0.2829,1.0,0.4068,P003-Q05-F-비존재,1,F-비존재
0.3459,0.8002,0.0,0.3119,P003-Q06-F-시점오류,1,F-시점오류
0.3816,0.8846,0.0,0.3119,P003-Q07-ADV-부분일치,1,ADV-부분일치
0.3459,0.8454,0.0,0.3119,P003-Q08-ADV-시점근접,1,ADV-시점근접
0.4466,0.6462,0.0,0.3119,P003-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4191,1.0,1.0,P004-Q01-T-거주지,1,T-거주지
1.0,0.8032,1.0,1.0,P004-Q02-T-직업,1,T-직업
1.0,0.8425,1.0,1.0,P004-Q03-T-학력,1,T-학력
0.4721,0.4172,0.0,0.3033,P004-Q04-F-반대,1,F-반대
1.0,0.2318,1.0,0.4201,P004-Q05-F-비존재,1,F-비존재
0.349,0.7783,0.0,0.3033,P004-Q06-F-시점오류,1,F-시점오류
0.3588,0.679,0.0,0.3033,P004-Q07-ADV-부분일치,1,ADV-부분일치
0.349,0.8189,0.0,0.3033,P004-Q08-ADV-시점근접,1,ADV-시점근접
0.4167,0.6053,0.0,0.3033,P004-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4989,1.0,1.0,P005-Q01-T-거주지,1,T-거주지
1.0,0.7905,1.0,1.0,P005-Q02-T-직업,1,T-직업
1.0,0.8436,1.0,1.0,P005-Q03-T-학력,1,T-학력
0.5379,0.4721,0.0,0.3081,P005-Q04-F-반대,1,F-반대
1.0,0.2308,1.0,0.4078,P005-Q05-F-비존재,1,F-비존재
0.3594,0.8413,0.0,0.3081,P005-Q06-F-시점오류,1,F-시점오류
0.3977,0.873,0.0,0.3081,P005-Q07-ADV-부분일치,1,ADV-부분일치
0.3594,0.8597,0.0,0.3081,P005-Q08-ADV-시점근접,1,ADV-시점근접
0.4321,0.6086,0.0,0.3081,P005-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4029,1.0,1.0,P006-Q01-T-거주지,1,T-거주지
1.0,0.7922,1.0,1.0,P006-Q02-T-직업,1,T-직업
1.0,0.8382,1.0,1.0,P006-Q03-T-학력,1,T-학력
0.3803,0.6287,0.0,0.32,P006-Q04-F-반대,1,F-반대
1.0,0.2319,1.0,0.4274,P006-Q05-F-비존재,1,F-비존재
0.3316,0.7627,0.0,0.32,P006-Q06-F-시점오류,1,F-시점오류
0.3988,0.7821,0.0,0.32,P006-Q07-ADV-부분일치,1,ADV-부분일치
0.3362,0.8237,0.0,0.32,P006-Q08-ADV-시점근접,1,ADV-시점근접
0.4575,0.6752,0.0,0.32,P006-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4558,1.0,1.0,P007-Q01-T-거주지,1,T-거주지
1.0,0.805,1.0,1.0,P007-Q02-T-직업,1,T-직업
1.0,0.8534,1.0,1.0,P007-Q03-T-학력,1,T-학력
0.3516,0.7015,0.0,0.3086,P007-Q04-F-반대,1,F-반대
1.0,0.2472,1.0,0.444,P007-Q05-F-비존재,1,F-비존재
0.3372,0.8117,0.0,0.3086,P007-Q06-F-시점오류,1,F-시점오류
0.4983,0.6422,0.0,0.3086,P007-Q07-ADV-부분일치,1,ADV-부분일치
0.3372,0.7628,0.0,0.3086,P007-Q08-ADV-시점근접,1,ADV-시점근접
0.4373,0.7391,0.0,0.3086,P007-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.7705,1.0,1.0,P008-Q01-T-거주지,1,T-거주지
1.0,0.796,1.0,1.0,P008-Q02-T-직업,1,T-직업
1.0,0.8503,1.0,1.0,P008-Q03-T-학력,1,T-학력
0.4106,0.7027,0.0,0.3134,P008-Q04-F-반대,1,F-반대
1.0,0.2779,1.0,0.4085,P008-Q05-F-비존재,1,F-비존재
0.38,0.7422,0.0,0.3134,P008-Q06-F-시점오류,1,F-시점오류
0.4178,0.7937,0.0,0.3134,P008-Q07-ADV-부분일치,1,ADV-부분일치
0.38,0.7978,0.0,0.3134,P008-Q08-ADV-시점근접,1,ADV-시점근접
0.4454,0.6117,0.0,0.3134,P008-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.3604,1.0,1.0,P009-Q01-T-거주지,1,T-거주지
1.0,0.7618,1.0,1.0,P009-Q02-T-직업,1,T-직업
1.0,0.8263,1.0,1.0,P009-Q03-T-학력,1,T-학력
0.4007,0.6671,0.0,0.3121,P009-Q04-F-반대,1,F-반대
1.0,0.2728,1.0,0.4323,P009-Q05-F-비존재,1,F-비존재
0.3693,0.768,0.0,0.3121,P009-Q06-F-시점오류,1,F-시점오류
0.3727,0.8121,0.0,0.3121,P009-Q07-ADV-부분일치,1,ADV-부분일치
0.3639,0.7898,0.0,0.3121,P009-Q08-ADV-시점근접,1,ADV-시점근접
0.4552,0.62,0.0,0.3121,P009-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4144,1.0,1.0,P010-Q01-T-거주지,1,T-거주지
1.0,0.7797,1.0,1.0,P010-Q02-T-직업,1,T-직업
1.0,0.8174,1.0,1.0,P010-Q03-T-학력,1,T-학력
0.513,0.418,0.0,0.326,P010-Q04-F-반대,1,F-반대
1.0,0.2536,1.0,0.4513,P010-Q05-F-비존재,1,F-비존재
0.361,0.8118,0.0,0.326,P010-Q06-F-시점오류,1,F-시점오류
0.5242,0.648,0.0,0.326,P010-Q07-ADV-부분일치,1,ADV-부분일치
0.361,0.8094,0.0,0.326,P010-Q08-ADV-시점근접,1,ADV-시점근접
0.4609,0.6349,0.0,0.326,P010-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.3219,1.0,1.0,P011-Q01-T-거주지,1,T-거주지
1.0,0.7367,1.0,1.0,P011-Q02-T-직업,1,T-직업
1.0,0.8165,1.0,1.0,P011-Q03-T-학력,1,T-학력
0.3522,0.68,0.0,0.2772,P011-Q04-F-반대,1,F-반대
1.0,0.2578,1.0,0.4131,P011-Q05-F-비존재,1,F-비존재
0.369,0.7735,0.0,0.2772,P011-Q06-F-시점오류,1,F-시점오류
0.3735,0.7905,0.0,0.2772,P011-Q07-ADV-부분일치,1,ADV-부분일치
0.369,0.8298,0.0,0.2772,P011-Q08-ADV-시점근접,1,ADV-시점근접
0.3866,0.5793,0.0,0.2772,P011-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4598,1.0,1.0,P012-Q01-T-거주지,1,T-거주지
1.0,0.7808,1.0,1.0,P012-Q02-T-직업,1,T-직업
1.0,0.8198,1.0,1.0,P012-Q03-T-학력,1,T-학력
0.405,0.6972,0.0,0.3219,P012-Q04-F-반대,1,F-반대
